"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","delay","seq_num"
177,2018-06-27 07:49:10,413,"Os.Kolorowe",52,"Czerwone Maki P+R",2018-06-27 07:46:00,"6352185295672180894","6351558574045232900",3,10
177,2018-06-27 07:49:10,392,"DH Wanda",52,"Czerwone Maki P+R",2018-06-27 07:48:00,"6352185295672180856","6351558574045236996",1,6
181,2018-06-27 07:49:29,2688,"Norymberska",52,"Czerwone Maki P+R",2018-06-27 07:47:00,"6352185295672180840","6351558574045216516",2,33
183,2018-06-27 07:49:38,2691,"Chmieleniec",52,"Os.Piastów",2018-06-27 07:48:00,"6352185295672181640","6351558574045273860",1,2
183,2018-06-27 07:49:43,382,"Kleeberga",52,"Os.Piastów",2018-06-27 07:49:00,"6352185295672180871","6351558574045249283",0,35
184,2018-06-27 07:49:45,3039,"Centrum Kongresowe ICE",52,"Czerwone Maki P+R",2018-06-27 07:46:00,"6352185295672181660","6351558574045220610",3,26
185,2018-06-27 07:49:53,407,"Czyżyny",52,"Os.Piastów",2018-06-27 07:49:00,"6352185295672181648","6351558574045257474",0,26
191,2018-06-27 07:50:23,129,"Cystersów",52,"Os.Piastów",2018-06-27 07:49:00,"6352185295672181668","6351558574045261571",1,20
193,2018-06-27 07:50:33,129,"Cystersów",52,"Czerwone Maki P+R",2018-06-27 07:50:00,"6352185295672181661","6351558574045228802",0,18
196,2018-06-27 07:50:50,379,"Piasta Kołodzieja",52,"Os.Piastów",2018-06-27 07:50:00,"6352185295672180871","6351558574045249283",0,36
197,2018-06-27 07:50:50,2690,"Kampus UJ",52,"Os.Piastów",2018-06-27 07:50:00,"6352185295672181640","6351558574045273860",0,3
197,2018-06-27 07:50:50,589,"Ruczaj",52,"Czerwone Maki P+R",2018-06-27 07:49:00,"6352185295672180840","6351558574045216516",1,34
200,2018-06-27 07:51:06,575,"Szwedzka",52,"Czerwone Maki P+R",2018-06-27 07:47:00,"6352185295672181660","6351558574045220610",4,27
200,2018-06-27 07:51:10,378,"Os.Piastów",52,"Czerwone Maki P+R",2018-06-27 07:51:00,"6352185295672180864","6351558574045241092",0,1
207,2018-06-27 07:51:46,130,"Białucha",52,"Os.Piastów",2018-06-27 07:51:00,"6352185295672181668","6351558574045261571",0,21
207,2018-06-27 07:51:47,2745,"Rondo Kocmyrzowskie im. Ks. Gorzelanego",52,"Czerwone Maki P+R",2018-06-27 07:51:00,"6352185295672180856","6351558574045236996",0,7
208,2018-06-27 07:51:49,589,"Ruczaj",52,"Os.Piastów",2018-06-27 07:51:00,"6352185295672181640","6351558574045273860",0,4
209,2018-06-27 07:51:53,2690,"Kampus UJ",52,"Czerwone Maki P+R",2018-06-27 07:50:00,"6352185295672180840","6351558574045216516",1,35
213,2018-06-27 07:52:15,576,"Kapelanka",52,"Czerwone Maki P+R",2018-06-27 07:49:00,"6352185295672181660","6351558574045220610",3,28
216,2018-06-27 07:52:30,125,"Rondo Mogilskie",52,"Czerwone Maki P+R",2018-06-27 07:52:00,"6352185295672181661","6351558574045228802",0,19
217,2018-06-27 07:52:37,408,"Rondo Czyżyńskie",52,"Czerwone Maki P+R",2018-06-27 07:50:00,"6352185295672180894","6351558574045232900",2,11
219,2018-06-27 07:52:45,357,"Poczta Główna",52,"Czerwone Maki P+R",2018-06-27 07:48:00,"6352185295672181662","6351558574045224708",4,22
222,2018-06-27 07:53:01,392,"DH Wanda",52,"Os.Piastów",2018-06-27 07:53:00,"6352185295672181652","6351558574045253379",0,32
224,2018-06-27 07:53:11,408,"Rondo Czyżyńskie",52,"Os.Piastów",2018-06-27 07:52:00,"6352185295672181648","6351558574045257474",1,27
225,2018-06-27 07:53:14,2691,"Chmieleniec",52,"Czerwone Maki P+R",2018-06-27 07:51:00,"6352185295672180840","6351558574045216516",2,36
226,2018-06-27 07:53:19,2688,"Norymberska",52,"Os.Piastów",2018-06-27 07:52:00,"6352185295672181640","6351558574045273860",1,5
226,2018-06-27 07:53:22,379,"Piasta Kołodzieja",52,"Czerwone Maki P+R",2018-06-27 07:52:00,"6352185295672180864","6351558574045241092",1,2
227,2018-06-27 07:53:24,577,"Słomiana",52,"Czerwone Maki P+R",2018-06-27 07:50:00,"6352185295672181660","6351558574045220610",3,29
229,2018-06-27 07:53:35,407,"Czyżyny",52,"Czerwone Maki P+R",2018-06-27 07:51:00,"6352185295672180894","6351558574045232900",2,12
229,2018-06-27 07:53:36,418,"Os.Zgody",52,"Czerwone Maki P+R",2018-06-27 07:52:00,"6352185295672180856","6351558574045236996",1,8
231,2018-06-27 07:53:50,3040,"TAURON Arena Kraków Wieczysta",52,"Os.Piastów",2018-06-27 07:53:00,"6352185295672181668","6351558574045261571",0,22
236,2018-06-27 07:54:16,382,"Kleeberga",52,"Czerwone Maki P+R",2018-06-27 07:53:00,"6352185295672180864","6351558574045241092",1,3
239,2018-06-27 07:54:28,358,"Starowiślna",52,"Os.Piastów",2018-06-27 07:51:00,"6352185295672181647","6351558574045265668",3,15
239,2018-06-27 07:54:29,126,"Lubicz",52,"Czerwone Maki P+R",2018-06-27 07:54:00,"6352185295672181661","6351558574045228802",0,20
244,2018-06-27 07:54:54,413,"Os.Kolorowe",52,"Os.Piastów",2018-06-27 07:54:00,"6352185295672181648","6351558574045257474",0,28
246,2018-06-27 07:55:03,112,"Stella-Sawickiego",52,"Czerwone Maki P+R",2018-06-27 07:52:00,"6352185295672180894","6351558574045232900",3,13
247,2018-06-27 07:55:07,358,"Starowiślna",52,"Czerwone Maki P+R",2018-06-27 07:50:00,"6352185295672181662","6351558574045224708",5,23
247,2018-06-27 07:55:09,2539,"Rondo Hipokratesa",52,"Os.Piastów",2018-06-27 07:55:00,"6352185295672181652","6351558574045253379",0,33
248,2018-06-27 07:55:11,361,"Orzeszkowej",52,"Os.Piastów",2018-06-27 07:55:00,"6352185295672181669","6351558574045269763",0,13
249,2018-06-27 07:55:16,2687,"Grota-Roweckiego",52,"Os.Piastów",2018-06-27 07:54:00,"6352185295672181640","6351558574045273860",1,6
249,2018-06-27 07:55:18,2811,"Muzeum Lotnictwa",52,"Os.Piastów",2018-06-27 07:54:00,"6352185295672181668","6351558574045261571",1,23
250,2018-06-27 07:55:24,388,"Dunikowskiego",52,"Czerwone Maki P+R",2018-06-27 07:55:00,"6352185295672180864","6351558574045241092",0,4
251,2018-06-27 07:55:26,357,"Poczta Główna",52,"Os.Piastów",2018-06-27 07:52:00,"6352185295672181647","6351558574045265668",3,16
252,2018-06-27 07:55:31,584,"Kobierzyńska",52,"Czerwone Maki P+R",2018-06-27 07:52:00,"6352185295672181660","6351558574045220610",3,30
259,2018-06-27 07:56:08,113,"AWF",52,"Czerwone Maki P+R",2018-06-27 07:53:00,"6352185295672180894","6351558574045232900",3,14
259,2018-06-27 07:56:09,2744,"Plac Centralny im. R.Reagana",52,"Czerwone Maki P+R",2018-06-27 07:55:00,"6352185295672180856","6351558574045236996",1,9
261,2018-06-27 07:56:16,2686,"Lipińskiego",52,"Os.Piastów",2018-06-27 07:56:00,"6352185295672181640","6351558574045273860",0,7
268,2018-06-27 07:56:50,131,"Dworzec Główny",52,"Czerwone Maki P+R",2018-06-27 07:56:00,"6352185295672181661","6351558574045228802",0,21
268,2018-06-27 07:56:50,113,"AWF",52,"Os.Piastów",2018-06-27 07:56:00,"6352185295672181668","6351558574045261571",0,24
273,2018-06-27 07:57:12,3038,"Czerwone Maki P+R",52,"Os.Piastów",2018-06-27 07:57:00,"6352185295672180839","6351558574045277955",0,1
274,2018-06-27 07:57:18,2686,"Lipińskiego",52,"Czerwone Maki P+R",2018-06-27 07:54:00,"6352185295672181660","6351558574045220610",3,31
