"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","status","delay","seq_num"
2,2018-07-09 22:14:12,370,"Dąbie",14,"Mistrzejowice",2018-07-09 22:13:00,"6352185295672180894","6351558574044760845","STOPPING",1,21
2,2018-07-09 22:14:13,129,"Cystersów",5,"Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181159","6351558574044510994","STOPPING",0,19
2,2018-07-09 22:14:14,130,"Białucha",4,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181647","6351558574044482319","STOPPING",1,17
2,2018-07-09 22:14:16,2871,"TAURON Arena Kraków Al. Pokoju",1,"Wzgórza K.",2018-07-09 22:10:00,"6352185295672181166","6351558574044367631","STOPPING",4,NA
2,2018-07-09 22:14:18,392,"DH Wanda",14,"Mistrzejowice",2018-07-09 22:14:00,"6352185295672181557","6351558574044756750","STOPPING",0,32
2,2018-07-09 22:14:23,461,"Blokowa",22,"Walcownia",2018-07-09 22:10:00,"6352185295672180884","6351558574044891918","PREDICTED",4,34
3,2018-07-09 22:14:25,2690,"Kampus UJ",18,"Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181548","6351558574044810003","STOPPING",0,24
3,2018-07-09 22:14:25,615,"Sanktuarium Bożego Miłosierdzia",19,"Borek Fałęcki",2018-07-09 22:14:00,"6352185295672181176","6351558574044826390","STOPPING",0,17
3,2018-07-09 22:14:28,922,"Łagiewniki",8,"Bronowice Małe",2018-07-09 22:14:00,"6352185295672181362","6351558574044580628","PREDICTED",0,5
3,2018-07-09 22:14:29,322,"Filharmonia",13,"Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181345","6351558574044683027","PREDICTED",0,9
3,2018-07-09 22:14:31,2741,"Św.Gertrudy",18,"Czerwone Maki P+R",2018-07-09 22:13:00,"6352185295672181550","6351558574044818195","STOPPING",1,11
3,2018-07-09 22:14:31,357,"Poczta Główna",1,"Salwator",2018-07-09 22:14:00,"6352185295672181145","6351558574044392208","PREDICTED",0,26
3,2018-07-09 22:14:35,78,"Batorego",14,"Mistrzejowice",2018-07-09 22:14:00,"6352185295672180864","6351558574044732175","STOPPING",0,10
3,2018-07-09 22:14:36,131,"Dworzec Główny",52,"Os.Piastów",2018-07-09 22:14:00,"6352185295672181667","6351558574045035277","STOPPING",0,17
3,2018-07-09 22:14:37,682,"Prokocim Szpital",9,"Nowy Bieżanów P+R",2018-07-09 22:13:00,NA,"6351558574044613390","PLANNED",1,32
3,2018-07-09 22:14:39,365,"Rondo Grzegórzeckie",19,"Borek Fałęcki",2018-07-09 22:13:00,NA,"6351558574044830486","PLANNED",1,5
3,2018-07-09 22:14:40,129,"Cystersów",5,"Wzgórza K.",2018-07-09 22:13:00,NA,"6351558574044502803","PLANNED",1,NA
3,2018-07-09 22:14:42,3041,"Rondo 308. Dywizjonu",1,"Salwator",2018-07-09 22:14:00,"6352185295672181165","6351558574044400401","PREDICTED",0,14
3,2018-07-09 22:14:43,383,"Rondo Piastowskie",14,"Bronowice Małe",2018-07-09 22:14:00,"6352185295672181549","6351558574044748559","STOPPING",0,4
3,2018-07-09 22:14:44,379,"Piasta Kołodzieja",21,"Os.Piastów",2018-07-09 22:13:00,NA,"6351558574044883746","PLANNED",1,11
3,2018-07-09 22:14:44,2744,"Plac Centralny im. R.Reagana",21,"Kopiec Wandy",2018-07-09 22:13:00,NA,"6351558574044879651","PLANNED",1,9
3,2018-07-09 22:14:44,418,"Os.Zgody",5,"Wzgórza K.",2018-07-09 22:13:00,"6352185295672181192","6351558574044498707","STOPPING",1,NA
4,2018-07-09 22:14:50,320,"Reymana",20,"Mały Płaszów",2018-07-09 22:14:00,"6352185295672181154","6351558574044855066","PREDICTED",0,2
4,2018-07-09 22:14:51,2687,"Grota-Roweckiego",52,"Os.Piastów",2018-07-09 22:14:00,"6352185295672181660","6351558574045043469","STOPPING",0,6
4,2018-07-09 22:14:51,584,"Kobierzyńska",22,"Kombinat",2018-07-09 22:13:00,NA,"6351558574044900111","PLANNED",1,NA
4,2018-07-09 22:14:51,577,"Słomiana",22,"Borek Fałęcki",2018-07-09 22:09:00,"6352185295672180859","6351558574044908302","STOPPING",5,28
4,2018-07-09 22:14:55,360,"Plac Wolnica",6,"Kurdwanów P+R",2018-07-09 22:14:00,"6352185295672181195","6351558574044543766","PREDICTED",0,9
4,2018-07-09 22:14:55,325,"Wawel",18,"Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181552","6351558574044793620","STOPPING",0,15
4,2018-07-09 22:14:56,2741,"Św.Gertrudy",13,"Bronowice",2018-07-09 22:13:00,"6352185295672181370","6351558574044699410","STOPPING",1,18
4,2018-07-09 22:14:57,78,"Batorego",8,"Bronowice Małe",2018-07-09 22:14:00,"6352185295672181360","6351558574044572434","STOPPING",0,17
4,2018-07-09 22:14:59,70,"Dworzec Towarowy",3,"Krowodrza Górka",2018-07-09 22:13:00,NA,"6351558574044424982","PLANNED",1,21
4,2018-07-09 22:14:59,3036,"Szpital Narutowicza",3,"Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181346","6351558574044420887","STOPPING",0,3
4,2018-07-09 22:15:01,3158,"Podgórze SKA",11,"Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672180970","6351558574044666647","STOPPING",1,7
4,2018-07-09 22:15:03,1262,"Rzebika",20,"Cichy Kącik",2018-07-09 22:15:00,"6352185295672181137","6351558574044871448","PREDICTED",0,2
4,2018-07-09 22:15:03,125,"Rondo Mogilskie",4,"Wzgórza K.",2018-07-09 22:13:00,"6352185295672181658","6351558574044470031","STOPPING",2,NA
4,2018-07-09 22:15:05,930,"M1 Al. Pokoju",14,"Bronowice Małe",2018-07-09 22:14:00,"6352185295672180840","6351558574044744462","PREDICTED",1,15
4,2018-07-09 22:15:08,418,"Os.Zgody",52,"Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181637","6351558574045072141","STOPPING",1,8
