"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
6,2018-07-09 22:15:41,319,"2","Cm. Rakowicki",2018-07-09 22:15:00,"6352185295672181146","6351558574044408613","STOPPING"
6,2018-07-09 22:15:42,360,"10","Kopiec Wandy",2018-07-09 22:15:00,"6352185295672180897","6351558574044646163","STOPPING"
6,2018-07-09 22:15:42,325,"18","Czerwone Maki P+R",2018-07-09 22:15:00,"6352185295672181550","6351558574044818195","STOPPING"
6,2018-07-09 22:15:44,1049,"4","Wzgórza K.",2018-07-09 22:15:00,"6352185295672181655","6351558574044474127","STOPPING"
6,2018-07-09 22:15:44,88,"8","Borek Fałęcki",2018-07-09 22:14:00,"6352185295672181351","6351558574044601105","PREDICTED"
6,2018-07-09 22:15:44,88,"4","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181668","6351558574044478222","STOPPING"
6,2018-07-09 22:15:44,135,"24","Kurdwanów P+R",2018-07-09 22:14:00,NA,"6351558574044945171","PLANNED"
6,2018-07-09 22:15:45,131,"24","Kurdwanów P+R",2018-07-09 22:14:00,NA,"6351558574044936979","PLANNED"
6,2018-07-09 22:15:46,715,"24","Bronowice Małe",2018-07-09 22:15:00,"6352185295672181038","6351558574044969747","STOPPING"
6,2018-07-09 22:15:46,630,"50","Prokocim",2018-07-09 22:13:00,"6352185295672181650","6351558574045002522","STOPPING"
6,2018-07-09 22:15:48,624,"13","Nowy Bieżanów P+R",2018-07-09 22:14:00,NA,"6351558574044723984","PLANNED"
6,2018-07-09 22:15:49,946,"20","Mały Płaszów",2018-07-09 22:15:00,"6352185295672181161","6351558574044846873","PREDICTED"
6,2018-07-09 22:15:49,365,"9","Mistrzejowice",2018-07-09 22:14:00,NA,"6351558574044605199","PLANNED"
6,2018-07-09 22:15:49,365,"22","Borek Fałęcki",2018-07-09 22:15:00,"6352185295672180856","6351558574044912398","STOPPING"
6,2018-07-09 22:15:50,125,"52","Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672180865","6351558574045063950","STOPPING"
6,2018-07-09 22:15:52,3033,"14","Mistrzejowice",2018-07-09 22:14:00,"6352185295672180894","6351558574044760845","STOPPING"
6,2018-07-09 22:15:56,434,"1","Wzgórza K.",2018-07-09 22:14:00,NA,"6351558574044359440","PLANNED"
6,2018-07-09 22:15:56,2685,"1","Salwator",2018-07-09 22:15:00,"6352185295672181140","6351558574044404496","PREDICTED"
6,2018-07-09 22:15:56,462,"22","Walcownia",2018-07-09 22:11:00,"6352185295672180884","6351558574044891918","PREDICTED"
7,2018-07-09 22:15:59,3038,"11","Mały Płaszów",2018-07-09 22:15:00,"6352185295672180971","6351558574044678934","STOPPING"
7,2018-07-09 22:16:01,2686,"52","Os.Piastów",2018-07-09 22:16:00,"6352185295672181660","6351558574045043469","STOPPING"
7,2018-07-09 22:16:03,960,"20","Mały Płaszów",2018-07-09 22:15:00,"6352185295672181154","6351558574044855066","PREDICTED"
7,2018-07-09 22:16:04,2742,"19","Dworzec Tow.",2018-07-09 22:16:00,"6352185295672181381","6351558574044838678","STOPPING"
7,2018-07-09 22:16:05,2741,"10","Łagiewniki",2018-07-09 22:13:00,"6352185295672180868","6351558574044654355","STOPPING"
7,2018-07-09 22:16:07,77,"14","Mistrzejowice",2018-07-09 22:16:00,"6352185295672180864","6351558574044732175","PREDICTED"
7,2018-07-09 22:16:10,682,"9","Mistrzejowice",2018-07-09 22:15:00,"6352185295672180984","6351558574044609295","STOPPING"
7,2018-07-09 22:16:11,3158,"3","Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181363","6351558574044433174","STOPPING"
7,2018-07-09 22:16:11,624,"13","Bronowice",2018-07-09 22:16:00,"6352185295672181349","6351558574044707602","PREDICTED"
7,2018-07-09 22:16:14,124,"2","Salwator",2018-07-09 22:16:00,"6352185295672181168","6351558574044416804","STOPPING"
7,2018-07-09 22:16:15,2871,"14","Bronowice Małe",2018-07-09 22:15:00,"6352185295672180840","6351558574044744462","PREDICTED"
7,2018-07-09 22:16:16,388,"14","Bronowice Małe",2018-07-09 22:16:00,"6352185295672181549","6351558574044748559","PREDICTED"
7,2018-07-09 22:16:17,2539,"14","Mistrzejowice",2018-07-09 22:16:00,"6352185295672181557","6351558574044756750","STOPPING"
7,2018-07-09 22:16:19,435,"1","Salwator",2018-07-09 22:16:00,"6352185295672181140","6351558574044404496","PREDICTED"
8,2018-07-09 22:16:24,589,"18","Krowodrza Górka",2018-07-09 22:16:00,"6352185295672181551","6351558574044801812","STOPPING"
8,2018-07-09 22:16:25,584,"22","Borek Fałęcki",2018-07-09 22:11:00,"6352185295672180859","6351558574044908302","STOPPING"
